time,setpoint,response,error
0.0182,0.412824,-0.087176,0.500000
0.0609,0.412824,-0.087176,0.500000
0.0997,0.412824,-0.095925,0.508749
0.1098,0.412824,-0.095925,0.508749
0.1574,0.412824,-0.095925,0.508749
0.1992,0.412824,-0.101722,0.514546
0.2154,0.412824,-0.101722,0.514546
0.2637,0.412824,-0.101722,0.514546
0.3018,0.412824,-0.104901,0.517725
0.3182,0.412824,-0.104901,0.517725
0.3620,0.412824,-0.104901,0.517725
0.3992,0.412824,-0.101294,0.514118
0.4070,0.412824,-0.101294,0.514118
0.4577,0.412824,-0.101294,0.514118
0.4627,0.412824,-0.101294,0.514118
0.4992,0.412824,-0.103455,0.516279
0.5117,0.412824,-0.103455,0.516279
0.5627,0.412824,-0.103455,0.516279
0.5793,0.412824,-0.103455,0.516279
0.5988,0.412824,-0.114302,0.527126
0.6270,0.412824,-0.114302,0.527126
0.6679,0.412824,-0.114302,0.527126
0.6991,0.412824,-0.135221,0.548045
0.7201,0.412824,-0.135221,0.548045
0.7710,0.412824,-0.135221,0.548045
0.7736,0.412824,-0.135221,0.548045
0.7988,0.412824,-0.185822,0.598646
0.8207,0.412824,-0.185822,0.598646
0.8620,0.412824,-0.185822,0.598646
0.8992,0.412824,-0.198973,0.611797
0.9048,0.412824,-0.198973,0.611797
0.9485,0.412824,-0.198973,0.611797
0.9936,0.412824,-0.198973,0.611797
0.9984,0.412824,-0.232117,0.644941
1.0386,0.412824,-0.232117,0.644941
1.0894,0.412824,-0.232117,0.644941
1.0955,0.412824,-0.232117,0.644941
1.0993,0.412824,-0.256738,0.669562
1.1460,0.412824,-0.256738,0.669562
1.1968,0.412824,-0.256738,0.669562
1.1994,0.412824,-0.272547,0.685371
1.1997,0.412824,-0.272547,0.685371
1.2505,0.412824,-0.272547,0.685371
1.2634,0.412824,-0.272547,0.685371
1.2997,0.412824,-0.313128,0.725952
1.3127,0.412824,-0.313128,0.725952
1.3637,0.412824,-0.313128,0.725952
1.3640,0.412824,-0.313128,0.725952
1.3999,0.412824,-0.353676,0.766500
1.4286,0.412824,-0.353676,0.766500
1.4794,0.412824,-0.353676,0.766500
1.4806,0.412824,-0.353676,0.766500
1.4994,0.412824,-0.435729,0.848553
1.5346,0.412824,-0.435729,0.848553
1.5813,0.412824,-0.435729,0.848553
1.5993,0.412824,-0.542304,0.955128
1.6283,0.412824,-0.542304,0.955128
1.6791,0.412824,-0.542304,0.955128
1.6921,0.412824,-0.542304,0.955128
1.6987,0.412824,-0.663758,1.076582
1.7408,0.412824,-0.663758,1.076582
1.7916,0.412824,-0.663758,1.076582
1.7994,0.412824,-0.821830,1.234654
1.7997,0.412824,-0.821830,1.234654
1.8465,0.412824,-0.821830,1.234654
1.8915,0.412824,-0.821830,1.234654
1.8987,0.412824,-1.710436,2.123260
1.9495,0.412824,-1.710436,2.123260
1.9553,0.412824,-1.710436,2.123260
1.9996,0.412824,-2.132253,2.545077
